,"(3,2)Comparative new","(3,2)Comparative upgrade","(3,3)Comparative new","(3,3)Comparative upgrade","(4,2)Comparative new","(4,2)Comparative upgrade","(4,3)Comparative new","(4,3)Comparative upgrade","(5,2)Comparative new","(5,2)Comparative upgrade","(5,3)Comparative new","(5,3)Comparative upgrade"
"(3,2)Comparative new",,"[0.16214248168224868, 0.17273901117762266]","[-0.3590238881036272, -0.35392718155674396]","[-0.21288549259833456, -0.20520127350110506]","[-0.19815579582718215, -0.1931200332212347]","[-0.031219087357058126, -0.027225364099039875]","[-0.5320905100903677, -0.5260807803623762]","[-0.4128545787640663, -0.40770011204511514]","[-0.3248702573720823, -0.3169211395798206]","[-0.16137665601821524, -0.154505865749661]","[-0.6530901073625472, -0.6477091145425067]","[-0.527422793328701, -0.520433300501999]"
"(3,2)Comparative upgrade",,,"[-0.5282669075743451, -0.5195656549458973]","[-0.38113699229213055, -0.3718312666671804]","[-0.3668938714881186, -0.3592634504201696]","[-0.20138068684052046, -0.19194525747544888]","[-0.7011401338559791, -0.6919126494566361]","[-0.5805592703764552, -0.5748769132925976]","[-0.49239584986776447, -0.4842770399440098]","[-0.3312309098224766, -0.319533104805271]","[-0.8222849094959859, -0.8133958052689394]","[-0.6943819623190491, -0.6883556243715222]"
"(3,3)Comparative new",,,,"[0.14472709891239446, 0.15013720464853705]","[0.15816231482110582, 0.16351292579084847]","[0.3246704778014351, 0.32983614040283804]","[-0.1748374996478089, -0.1703827211445638]","[-0.0558684905565982, -0.05173513059221208]","[0.03339395252026979, 0.037765720188198446]","[0.1954051290114937, 0.2016634188810012]","[-0.29597140322383164, -0.29187674902085115]","[-0.16962446838097872, -0.16528055578935014]"
"(3,3)Comparative upgrade",,,,,"[0.011335683375980626, 0.01547525367504215]","[0.17609971094729157, 0.18354260369605005]","[-0.324791492433065, -0.3152930319202392]","[-0.2036177494762613, -0.1988501752334805]","[-0.11536489102063698, -0.1083397398318263]","[0.046180651136872614, 0.056023593194690774]","[-0.44510517098372937, -0.43760728482188493]","[-0.3186320969562851, -0.3111372307749753]"
"(4,2)Comparative new",,,,,,"[0.16272225546299715, 0.1701091221293217]","[-0.337239198929646, -0.329656262474681]","[-0.21726677447167192, -0.21201208728909265]","[-0.12926628010402136, -0.12124928779946469]","[0.03370995147321312, 0.04168335580732749]","[-0.45734016815382894, -0.45218322470280814]","[-0.3311796054029214, -0.32540065937936175]"
"(4,2)Comparative upgrade",,,,,,,"[-0.5016118141376646, -0.4981150248589812]","[-0.3832284531573359, -0.3788817861957475]","[-0.2945547765302189, -0.288792168965586]","[-0.13236373584289496, -0.12507433446888327]","[-0.6246034225650674, -0.6177513478838885]","[-0.4981177486213057, -0.4912938937532963]"
"(4,3)Comparative new",,,,,,,,"[0.11649468578820063, 0.12112191385536178]","[0.2051413936939051, 0.21123849980693582]","[0.36811256147033966, 0.37417620721452793]","[-0.12371223216086592, -0.11891569929144417]","[0.002186185501846976, 0.008129011120196856]"
"(4,3)Comparative upgrade",,,,,,,,,"[0.08674455873760284, 0.09201873511967568]","[0.24801390085028696, 0.2566582681910182]","[-0.24267010008434392, -0.2375744310115286]","[-0.1165795062415068, -0.11072189678001178]"
"(5,2)Comparative new",,,,,,,,,,"[0.15857738385898795, 0.16733149132503872]","[-0.3337719111572038, -0.32523591379594724]","[-0.20669578846744646, -0.19936890841135063]"
"(5,2)Comparative upgrade",,,,,,,,,,,"[-0.49598099801877116, -0.48893570211840653]","[-0.36965918215918486, -0.3623143899036389]"
"(5,3)Comparative new",,,,,,,,,,,,"[0.122525777142817, 0.13041735093153695]"
"(5,3)Comparative upgrade",,,,,,,,,,,,
