,"(3,2)Comparative new","(3,2)Comparative upgrade","(3,3)Comparative new","(3,3)Comparative upgrade","(4,2)Comparative new","(4,2)Comparative upgrade","(4,3)Comparative new","(4,3)Comparative upgrade","(5,2)Comparative new","(5,2)Comparative upgrade","(5,3)Comparative new","(5,3)Comparative upgrade"
"(3,2)Comparative new",,"[0.12106198146493796, 0.21381951139493338]","[-0.3953848708164806, -0.31756619884389053]","[-0.25205121551241644, -0.16603555058702316]","[-0.23760849988756133, -0.15366732916085551]","[-0.06882638310673284, 0.010381931650634835]","[-0.567705472570926, -0.4904658178818179]","[-0.44722154040801493, -0.3733331504011665]","[-0.36445632920255266, -0.27733506774935024]","[-0.20288693027949375, -0.11299559148838248]","[-0.6906942554423101, -0.6101049664627438]","[-0.5676713139683974, -0.48018477986230257]"
"(3,2)Comparative upgrade",,,"[-0.5678749101569421, -0.47995765236330035]","[-0.42400695517383324, -0.3289613037854777]","[-0.40969045326159664, -0.31646686864669155]","[-0.241218894325799, -0.15210704999017036]","[-0.7402370366189238, -0.6528157466936914]","[-0.6200039852373271, -0.5354321984317256]","[-0.5363471184474764, -0.44032577136429785]","[-0.3746217101015142, -0.2761423045262334]","[-0.8629927661994059, -0.7726879485655194]","[-0.7395409879536328, -0.6431965987369386]"
"(3,3)Comparative new",,,,"[0.10710401981286732, 0.1877602837480642]","[0.12163761086047295, 0.20003762975148134]","[0.29065052674157693, 0.3638560914626962]","[-0.20812164201237937, -0.13709857877999332]","[-0.0874386448036827, -0.02016497634512758]","[-0.005347242802789483, 0.07650691551125771]","[0.15611294294402092, 0.24095560494847398]","[-0.33128833381334016, -0.2565598184313426]","[-0.20857714277432954, -0.12632788139599932]"
"(3,3)Comparative upgrade",,,,,"[-0.02985861475218205, 0.05666955180320483]","[0.13882841663806497, 0.22081389800527665]","[-0.36009380177397793, -0.2799907225793263]","[-0.23968859026417516, -0.16277933444556664]","[-0.1566487285404122, -0.06705590231205108]","[0.004967332887924461, 0.09723691144363893]","[-0.48301049730173407, -0.39970195850388024]","[-0.35985737496707837, -0.269911952764182]"
"(4,2)Comparative new",,,,,,"[0.12652724849416136, 0.20630412909815748]","[-0.3723609676361369, -0.2945344937681901]","[-0.2518937657767302, -0.17738509598403435]","[-0.16907057502133224, -0.08144499288215382]","[-0.007491429009706389, 0.08288473629024701]","[-0.49533451104273385, -0.41418888181390323]","[-0.3722842341483358, -0.28429603063394737]"
"(4,2)Comparative upgrade",,,,,,,"[-0.5361531606399991, -0.4635736783566467]","[-0.4155240669852362, -0.3465861723678472]","[-0.3332531148915019, -0.250093830604303]","[-0.1717645575645957, -0.08567351274718256]","[-0.6592723056791978, -0.5830824647697581]","[-0.5364791290471427, -0.45293251332745926]"
"(4,3)Comparative new",,,,,,,,"[0.08552032750314968, 0.1520962721404127]","[0.16753432377173605, 0.24884556972910488]","[0.3289824415611901, 0.4133063271236775]","[-0.1583733271766921, -0.084254604275618]","[-0.035697231469853666, 0.0460124280918975]"
"(4,3)Comparative upgrade",,,,,,,,,"[0.050291809577723084, 0.12847148427955543]","[0.21166717451765701, 0.2930049945236482]","[-0.2754113394153171, -0.20483319168055542]","[-0.15294975591498358, -0.074351647106535]"
"(5,2)Comparative new",,,,,,,,,,"[0.11631334558106948, 0.2095955296029572]","[-0.371733496563039, -0.287274328390112]","[-0.2485278024860441, -0.15753689439275298]"
"(5,2)Comparative upgrade",,,,,,,,,,,"[-0.536126433204631, -0.44879026693254664]","[-0.4127954128420522, -0.3191781592207716]"
"(5,3)Comparative new",,,,,,,,,,,,"[0.08405205692728432, 0.1688910711470696]"
"(5,3)Comparative upgrade",,,,,,,,,,,,
